dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-03-13T15:00:00Z,2024-03-13T16:30:00Z,Cours-53696-38-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-03-15T16:30:00Z,2024-03-15T18:00:00Z,Cours-53697-38-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-16T15:00:00Z,2024-02-16T16:30:00Z,Cours-53704-34-M1-ILSEN-alt-GR1-Index-Education,S2 BIS = C 038,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-03-21T16:30:00Z,2024-03-21T18:00:00Z,Cours-53705-39-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-04-11T14:00:00Z,2024-04-11T15:30:00Z,Cours-53724-42-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-04-17T09:30:00Z,2024-04-17T11:00:00Z,Cours-53733-43-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-05-16T06:30:00Z,2024-05-16T08:00:00Z,Cours-53740-47-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-05-17T06:30:00Z,2024-05-17T08:00:00Z,Cours-76663-47-M1-ILSEN-alt-GR1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-05-15T12:30:00Z,2024-05-15T14:00:00Z,Cours-53749-47-M1-ILSEN-alt-GR1-Index-Education,S2 = C 040,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
2024-02-05T15:00:00Z,2024-02-05T16:30:00Z,Cours-53760-33-M1-ILSEN-alt-GR1-Index-Education,S3 = C 036,UCE 2 ANGLAIS (ORIENTE TECHNI,RONDIN Lilian,TD,,ILSEN-ALT
